Month,Day,Year,Time,AQI
7,2,2025,00:00,20
7,2,2025,01:00,20
7,2,2025,02:00,18
7,2,2025,03:00,11
7,2,2025,04:00,14
7,2,2025,05:00,13
7,2,2025,06:00,12
7,2,2025,07:00,15
7,2,2025,08:00,16
7,2,2025,09:00,14
7,2,2025,10:00,20
7,2,2025,11:00,20
7,2,2025,12:00,16
7,2,2025,13:00,25
7,2,2025,14:00,33
7,2,2025,15:00,33
7,2,2025,16:00,44
7,2,2025,17:00,55
7,2,2025,18:00,53
7,2,2025,19:00,53
7,2,2025,20:00,55
7,2,2025,21:00,53
7,2,2025,22:00,57
7,2,2025,23:00,54
7,3,2025,00:00,49
7,3,2025,01:00,43
7,3,2025,02:00,36
7,3,2025,03:00,35
7,3,2025,04:00,40
7,3,2025,05:00,41
7,3,2025,06:00,37
7,3,2025,07:00,38
7,3,2025,08:00,33
7,3,2025,09:00,35
7,3,2025,10:00,38
7,3,2025,11:00,43
7,3,2025,12:00,42
7,3,2025,13:00,34
7,3,2025,14:00,25
7,3,2025,15:00,31
7,3,2025,16:00,37
7,3,2025,17:00,31
7,3,2025,18:00,26
7,3,2025,19:00,32
7,3,2025,20:00,35
7,3,2025,21:00,34
7,3,2025,22:00,36
7,3,2025,23:00,35
7,4,2025,00:00,36
7,4,2025,01:00,37
7,4,2025,02:00,31
7,4,2025,03:00,36
7,4,2025,04:00,37
7,4,2025,05:00,29
7,4,2025,06:00,31
7,4,2025,07:00,40
7,4,2025,08:00,39
7,4,2025,09:00,34
7,4,2025,10:00,34
7,4,2025,11:00,29
7,4,2025,12:00,31
7,4,2025,13:00,30
7,4,2025,14:00,30
7,4,2025,15:00,38
7,4,2025,16:00,33
7,4,2025,17:00,35
7,4,2025,18:00,35
7,4,2025,19:00,34
7,4,2025,20:00,96
7,4,2025,21:00,153
7,4,2025,22:00,126
7,4,2025,23:00,96
7,5,2025,0:00,65
7,5,2025,01:00,47
7,5,2025,02:00,30
7,5,2025,03:00,25
7,5,2025,04:00,27
7,5,2025,05:00,37
7,5,2025,06:00,37
7,5,2025,07:00,41
7,5,2025,08:00,40
7,5,2025,09:00,42
7,5,2025,10:00,48
7,5,2025,11:00,51
7,5,2025,12:00,42
7,5,2025,13:00,46
7,5,2025,14:00,42
7,5,2025,15:00,36
7,5,2025,16:00,35
7,5,2025,17:00,30
7,5,2025,18:00,44
7,5,2025,19:00,41
7,5,2025,20:00,39
7,5,2025,21:00,40
7,5,2025,22:00,39
7,5,2025,23:00,34
7,6,2025,00:00,36
7,6,2025,01:00,37
7,6,2025,02:00,31
7,6,2025,03:00,34
7,6,2025,04:00,40
7,6,2025,05:00,35
7,6,2025,06:00,25
7,6,2025,07:00,23
7,6,2025,08:00,24
7,6,2025,09:00,22
7,6,2025,10:00,24
7,6,2025,11:00,24
7,6,2025,12:00,22
7,6,2025,13:00,22
7,6,2025,14:00,22
7,6,2025,15:00,27
7,6,2025,16:00,26
7,6,2025,17:00,22
7,6,2025,18:00,27
7,6,2025,19:00,35
7,6,2025,20:00,30
7,6,2025,21:00,32
7,6,2025,22:00,30
7,6,2025,23:00,27
7,7,2025,00:00,24
7,7,2025,01:00,18
7,7,2025,02:00,18
7,7,2025,03:00,10
7,7,2025,04:00,18
7,7,2025,05:00,18
7,7,2025,06:00,18
7,7,2025,07:00,18
7,7,2025,08:00,17
7,7,2025,09:00,16
7,7,2025,10:00,18
7,7,2025,11:00,17
7,7,2025,12:00,18
7,7,2025,13:00,19
7,7,2025,14:00,19
7,7,2025,15:00,20
7,7,2025,16:00,22
7,7,2025,17:00,23
7,7,2025,18:00,24
7,7,2025,19:00,23
7,7,2025,20:00,22
7,7,2025,21:00,22
7,7,2025,22:00,22
7,7,2025,23:00,22
7,8,2025,00:00,22
7,8,2025,01:00,23
7,8,2025,02:00,22
7,8,2025,03:00,19
7,8,2025,04:00,21
7,8,2025,05:00,20
7,8,2025,06:00,20
7,8,2025,07:00,19
7,8,2025,08:00,20
7,8,2025,09:00,18
7,8,2025,10:00,19
7,8,2025,11:00,19
7,8,2025,12:00,19
7,8,2025,13:00,19
7,8,2025,14:00,19
7,8,2025,15:00,19
7,8,2025,16:00,19
7,8,2025,17:00,19
7,8,2025,18:00,19
7,8,2025,19:00,19
7,8,2025,20:00,19
7,8,2025,21:00,20
7,8,2025,22:00,20
7,8,2025,23:00,20
