,latitude,longitude,city,state,status,population,county,countyfips,country
1,34.1549388720001,-118.815736391,WESTLAKE VILAGE,CA,OPEN,62,VENTURA,06111,USA
2,34.023647302,-118.184164805,LOS ANGELES,CA,OPEN,127,LOS ANGELES,06037,USA
3,34.0963913570001,-118.325234871,HOLLYWOOD,CA,OPEN,100,LOS ANGELES,06037,USA
4,34.063038932,-117.967437788,BALDWIN PARK,CA,OPEN,95,LOS ANGELES,06037,USA
5,33.8597066200001,-118.148402965,LAKEWOOD,CA,OPEN,172,LOS ANGELES,06037,USA
6,34.1487586590001,-117.992667657,MONROVIA,CA,OPEN,49,LOS ANGELES,06037,USA
7,34.0494660590001,-118.138262231,MONTEREY PARK,CA,OPEN,101,LOS ANGELES,06037,USA
8,33.823914464,-118.356096947,TORRANCE,CA,OPEN,16,LOS ANGELES,06037,USA
9,33.8580833070001,-117.553858035,CORONA,CA,OPEN,78,RIVERSIDE,06065,USA
10,41.4800562550001,-120.545743987,ALTURAS,CA,OPEN,87,MODOC,06049,USA
11,36.659030456,-121.645983804,SALINAS,CA,OPEN,269,MONTEREY,06053,USA
13,33.7827271730001,-117.833891865,ORANGE,CA,OPEN,27,ORANGE,06059,USA
14,33.7474607400001,-117.831055631,TUSTIN,CA,OPEN,48,ORANGE,06059,USA
15,33.934495886,-117.893948792,BREA,CA,OPEN,86,ORANGE,06059,USA
16,33.7635332090001,-117.995255963,WESTMINSTER,CA,OPEN,109,ORANGE,06059,USA
17,36.320843946,-119.348234528,VISALIA,CA,OPEN,63,TULARE,06107,USA
27,33.8070928700001,-118.193389929,LONG BEACH,CA,OPEN,121,LOS ANGELES,06037,USA
28,37.706406198,-122.164654518,SAN LEANDRO,CA,OPEN,216,ALAMEDA,06001,USA
29,33.8846318610001,-118.162267066,PARAMOUNT,CA,OPEN,177,LOS ANGELES,06037,USA
30,33.928031349,-118.067989672,NORWALK,CA,OPEN,1265,LOS ANGELES,06037,USA
50,40.586595392,-122.411974107,REDDING,CA,OPEN,16,SHASTA,06089,USA
51,34.6353716090001,-120.452188325,LOMPOC,CA,OPEN,34,SANTA BARBARA,06083,USA
53,34.0320795600001,-117.60859933,ONTARIO,CA,OPEN,176,SAN BERNARDINO,06071,USA
54,34.047305635,-117.251636776,LOMA LINDA,CA,OPEN,134,SAN BERNARDINO,06071,USA
55,34.1346723570001,-117.277019975,SAN BERNARDINO,CA,OPEN,342,SAN BERNARDINO,06071,USA
56,32.7915625750001,-117.095159549,SAN DIEGO,CA,OPEN,414,SAN DIEGO,06073,USA
57,32.896858901,-117.24287107,LA JOLLA,CA,OPEN,173,SAN DIEGO,06073,USA
58,33.0373447760001,-117.284183383,ENCINITAS,CA,OPEN,194,SAN DIEGO,06073,USA
59,32.7982957780001,-117.154977819,SAN DIEGO,CA,OPEN,206,SAN DIEGO,06073,USA
60,32.754770233,-117.165731384,SAN DIEGO,CA,OPEN,390,SAN DIEGO,06073,USA
61,37.786509197,-122.456030633,SAN FRANCISCO,CA,OPEN,299,SAN FRANCISCO,06075,USA
