,make,model,model_yr,body_style,vehicle_type,drive_train,production_release,vehicle_class,body_frame,num_of_seating,seat_loc,seat_loc_comments,min_gross_weight,max_gross_weight,upper_belt_anchorage,upper_belt_anchorage_loc,seat_belt_pretensioner,seat_belt_pretensioner_loc,load_limiters,load_limiters_loc,frnt_belt_indicator,frnt_belt_loc,rear_belt_indicator,latch_rear_position,head_sab,head_sab_type,head_sab_loc,head_sab_mount_loc,head_sab_meet_requirements,head_sab_deploy_in_rollover,torso_sab,torso_sab_type,torso_sab_loc,torso_sab_mount_loc,knee_bolsters,knee_bolsters_loc,adl,head_restraint_ind,dynamic_head_restraint_ind,beti,blind_spot_detection,day_run_lights,adaptive_cruise_control,abs,ars,ars_loc,auto_crash_notification,crash_data_recorder,anti_theft_device,anti_theft_device_type,frnt_collision_warning,nhtsa_frnt_collision_warning,nhtsa_fcw_evaluation,lane_departure_warning,nhtsa_lane_departure_warning,nhtsa_ldw_evaluation,crash_imminent_brake,nhtsa_crash_imminent_brake,nhtsa_cib_evaluation,dynamic_brake_support,nhtsa_dynamic_brake_support,nhtsa_dbs_evaluation,nhtsa_esc,pelvis_sab,pelvis_sab_type,pelvis_sab_loc,pelvis_sab_mount_loc,overall_stars,frnt_test_no,frnt_vin,frnt_driv_stars,frnt_pass_stars,frnt_safety_concern_driv,frnt_safety_concern_pass,frnt_foot_notes,frnt_foot_notes_pass,overall_frnt_stars,curb_weight,frnt_tested_with,hic15_driv,chest_defl_driv,left_femur_driv,right_femur_driv,nij_driv,neck_tens_driv,net_comp_driv,hic15_pass,chest_defl_pass,left_femur_pass,right_femur_pass,nij_pass,neck_tens_pass,net_comp_pass,side_test_no,side_vin,side_driv_stars,side_pass_stars,side_barrier_star,comb_frnt_star,comb_rear_star,side_safety_concern_driv,side_safety_concern_pass,side_foot_notes,side_foot_notes_pass,overall_side_stars,side_tested_with,side_hic_36_driv,rib_deflection_driv,abdomen_force_driv,symphysis_force_driv,side_hic_36_pass,pelvic_force_pass,pole_test_no,pole_vin,side_pole_stars,pole_safety_concern,pole_foot_notes,pole_tested_with,pole_hic_36_driv,pelvic_force,rollover_possibility,static_stabi_factor,tip,roll_safety_concern,roll_foot_notes,rollover_stars,nhtsa_backup_camera,backup_camera
0,ACURA,ADX,2026,SUV,MPV,AWD,1,,,5,"1, 3, 4, 5, 6",,4453.0,4607.0,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4, 6",Standard,Head Protection,"1, 3, 4, 6",,Yes,,Standard,Torso and/or Pelvis Protection,"1, 3, 4, 6",,Standard,"1, 3",,"1, 3, 4, 5, 6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,,,,,,5.0,15464.0,3HDSA2H36SM703567,5.0,5.0,,,,,5.0,3509.0,"FRONTAL AIRBAG,KNEE AIR BAG",131.402,18.836,1189.17,1229.02,0.31,857.67,135.587,279.414,12.716,1029.94,604.637,0.4,680.507,170.913,15465.0,3HDSA1H3XSM702660,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.512,17.842,500.092,1218.24,176.563,2830.2,15466.0,3HDSA1H38SM701023,5.0,,"During the side pole impact test, the roof buckled significantly and the windshield separated from the roof and left A-pillar.","CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",233.348,2958.64,0.155,1.26,No Tip,,,4.0,,
1,ACURA,ADX,2026,SUV,MPV,FWD,1,,,5,"1, 3, 4, 5, 6",,4453.0,4607.0,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4, 6",Standard,Head Protection,"1, 3, 4, 6",,Yes,,Standard,Torso and/or Pelvis Protection,"1, 3, 4, 6",,Standard,"1, 3",,"1, 3, 4, 5, 6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,,,,,,5.0,15464.0,3HDSA2H36SM703567,5.0,5.0,,,,,5.0,3337.0,"FRONTAL AIRBAG,KNEE AIR BAG",131.402,18.836,1189.17,1229.02,0.31,857.67,135.587,279.414,12.716,1029.94,604.637,0.4,680.507,170.913,15465.0,3HDSA1H3XSM702660,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.512,17.842,500.092,1218.24,176.563,2830.2,15466.0,3HDSA1H38SM701023,5.0,,"During the side pole impact test, the roof buckled significantly and the windshield separated from the roof and left A-pillar.","CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",233.348,2958.64,0.159,1.25,No Tip,,,4.0,,
2,ACURA,INTEGRA,2026,5 HB,PC,FWD,1,,,5,"1, 3, 4, 5, 6",,4001.0,4078.0,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,,,,,,5.0,14258.0,19UDE4G79PA005104,5.0,5.0,,,,,5.0,3065.0,"FRONTAL AIRBAG,KNEE AIR BAG",231.16,19.752,1276.61,2553.46,0.27,847.854,85.427,328.259,14.267,1178.14,474.155,0.27,671.62,322.967,14261.0,19UDE4G71PA004819,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",144.975,23.877,1007.45,1336.93,239.345,2363.04,14260.0,19UDE4G74PA005267,5.0,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",235.989,2871.97,0.095,1.48,No Tip,,,5.0,,
3,ACURA,INTEGRA TYPE-S,2026,5 HB,PC,FWD,1,,,5,"1,3,4,6",,3957.0,3957.0,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Test Pending,Standard,Standard,Test Pending,,,,,,,0.0,,,,,,,,,2871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,1.48,No Tip,,,5.0,,
4,ACURA,MDX,2026,SUV,MPV,AWD,1,,,7,"1, 3, 4, 5, 6, 7, 9",,5600.0,5820.0,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4,5,6",Standard,Head Protection,"1,3,4,6,7,9",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,Standard,"1,3",,"1,3,4,5,6,7,9",,,Standard,,,,,,,Standard,,,Standard,Standard & Optional,Only Standard Meets Performance Criteria,Standard,Standard & Optional,Meets Performance Criteria,Standard,Standard & Optional,Only Standard Meets Performance Criteria,Standard,Standard & Optional,Only Standard Meets Performance Criteria,,,,,,,11663.0,5J8YE1H30NL001570,4.0,4.0,,,,,4.0,4488.0,"FRONTAL AIR BAG,KNEE AIR BAG",243.752,23.921,2061.157,2317.652,0.29,1354.183,261.062,288.27,17.196,1744.402,2037.548,0.3,544.159,333.11,11661.0,5J8YD9H33NL006246,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",106.597,14.831,466.768,1005.993,142.448,746.635,11662.0,5J8YD9H39NL006252,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",549.43,1886.689,0.151,,No Tip,,,,,
5,ACURA,MDX,2026,SUV,MPV,FWD,1,,,7,"1, 3, 4, 5, 6, 7, 9",,5600.0,5820.0,,,Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,,,"4,5,6",Standard,Head Protection,"1,3,4,6,7,9",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,Standard,"1,3",,"1,3,4,5,6,7,9",,,Standard,,,,,,,Standard,,,Standard,Standard & Optional,Only Standard Meets Performance Criteria,Standard,Standard & Optional,Meets Performance Criteria,Standard,Standard & Optional,Only Standard Meets Performance Criteria,Standard,Standard & Optional,Only Standard Meets Performance Criteria,,,,,,5.0,11663.0,5J8YE1H30NL001570,4.0,4.0,,,,,4.0,4488.0,"FRONTAL AIR BAG,KNEE AIR BAG",243.752,23.921,2061.157,2317.652,0.29,1354.183,261.062,288.27,17.196,1744.402,2037.548,0.3,544.159,333.11,11661.0,5J8YD9H33NL006246,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",106.597,14.831,466.768,1005.993,142.448,746.635,11662.0,5J8YD9H39NL006252,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",549.43,1886.689,0.151,1.27,No Tip,,,4.0,,
6,ACURA,RDX,2026,SUV,MPV,AWD,1,,,5,"1, 3, 4, 5, 6",,4784.0,5027.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,TBT,,Standard,Torso and/or Pelvis Protection,"1,3",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,,,,,,5.0,10556.0,5J8TC2H31KL012420,4.0,4.0,,,,,4.0,3989.0,"FRONTAL AIR BAG,KNEE AIR BAG",300.201,27.321,1457.93,2063.174,0.26,1165.62,100.635,352.628,15.3,1611.771,1961.714,0.3,438.544,372.26,10364.0,5J8TC1H3XKL001670,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.71,15.514,577.103,964.576,123.639,2055.456,10365.0,5J8TC1H36KL001665,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",485.973,3130.952,0.15,1.2719,No Tip,,,4.0,,
7,ACURA,RDX,2026,SUV,MPV,FWD,1,,,5,"1, 3, 4, 5, 6",,4784.0,5027.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,TBT,,Standard,Torso and/or Pelvis Protection,"1,3",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,,,,,,5.0,10556.0,5J8TC2H31KL012420,4.0,4.0,,,,,4.0,3989.0,"FRONTAL AIR BAG,KNEE AIR BAG",300.201,27.321,1457.93,2063.174,0.26,1165.62,100.635,352.628,15.3,1611.771,1961.714,0.3,438.544,372.26,10364.0,5J8TC1H3XKL001670,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.71,15.514,577.103,964.576,123.639,2055.456,10365.0,5J8TC1H36KL001665,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",485.973,3130.952,0.165,1.2372,No Tip,,,4.0,,
8,ALFA,GIULIA,2026,4 DR,PC,AWD,1,,,5,"1,3,4,5,6",,4612.0,4723.0,,,Standard,"1,3",Standard,"1,3",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
9,ALFA,GIULIA,2026,4 DR,PC,RWD,1,,,5,"1,3,4,5,6",,4612.0,4723.0,,,Standard,"1,3",Standard,"1,3",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
