,statecode,countycode,fipscode,state,county,year,county_clustered,flu_vaccine,flu_vaccine_aian,flu_vaccine_asian,flu_vaccine_black,flu_vaccine_hispanic,flu_vaccine_white,access_to_exercise_opp,preventable_hospital_stay,air_pollution,drinking_water_violation,income_inequality,life_expectancy,life_expectancy_aian,life_expectancy_asian,life_expectancy_black,life_expectancy_hispanic,life_expectancy_white,life_expectancy_nhopi,diabetes,hiv,obesity,limited_access_healthy_food,food_insecurity,insufficient_sleep,alcohol_impair_drive_death,drug_overdose,smoking,inactivity,access_to_parks,median_household_income,rural,region,state_name
0,0,0,0,US,United States,2025,,0.48,0.37,0.49,0.36,0.33,0.5,0.8445242486,2666.0,7.3,,4.8887130802,77.099412282,71.763257746,86.047160226,72.102747825,79.72974417,77.187405313,76.417911676,0.1,386.6,0.335,0.0610019647,0.135,0.368,0.2609415385,30.808248914,0.132,0.232,0.509125452,77719.0,0.2000313707,Outside,not_state
1,1,0,1000,AL,Alabama,2025,,0.41,0.38,0.41,0.32,0.28,0.43,0.6141318983,3327.0,8.6,0.1492537313,5.1673051842,73.279289325,111.83849026,86.55909426,70.244409793,92.275375715,73.9152125,76.98102631,0.135,343.8,0.384,0.0876054853,0.174,0.414,0.25,26.131132528,0.162,0.278,0.1678049726,62248.0,0.4226276049,South,Alabama
2,1,1,1001,AL,Autauga County,2025,1.0,0.36,,0.37,0.3,0.13,0.36,0.5449196497,4365.0,9.3,0.0,4.2737120382,74.800645825,,,71.085883846,,75.285873271,,0.113,223.6,0.384,0.1302099797,0.151,0.377,0.2745098039,10.857204898,0.154,0.257,0.0539579968,68857.0,0.406768132,South,Alabama
3,1,3,1003,AL,Baldwin County,2025,1.0,0.44,0.51,0.45,0.31,0.28,0.44,0.6162439001,2888.0,7.8,0.0,4.3595257111,76.580109234,,82.714160386,70.722781952,98.141086404,76.717617874,,0.102,170.1,0.368,0.0793677936,0.149,0.364,0.3641618497,31.607684304,0.147,0.238,0.1657224713,74248.0,0.3758645536,South,Alabama
4,1,5,1005,AL,Barbour County,2025,1.0,0.39,,,0.31,,0.41,0.5485866075,3560.0,8.8,0.0,5.6143391098,72.708991709,,,70.533538739,,74.200273108,,0.16,536.4,0.438,0.1043317167,0.19,0.446,0.3,16.159657415,0.219,0.349,0.0973318003,45298.0,0.6591999366,South,Alabama
5,1,7,1007,AL,Bibb County,2025,1.0,0.31,,,0.16,,0.32,0.4339030189,5029.0,8.6,1.0,5.3467271211,72.977378514,,,72.017797504,,72.792054485,,0.133,322.1,0.414,0.0044586621,0.191,0.414,0.15,27.019724399,0.218,0.322,0.182119948,56025.0,1.0,South,Alabama
6,1,9,1009,AL,Blount County,2025,1.0,0.37,,,0.22,0.25,0.37,0.4229208239,2099.0,8.8,0.0,4.6197221786,72.936172299,,,,97.776013378,72.243411367,,0.116,101.7,0.373,0.0251220602,0.174,0.376,0.1095890411,23.805205405,0.195,0.297,0.0372712822,64962.0,0.9048939696,South,Alabama
7,1,11,1011,AL,Bullock County,2025,1.0,0.33,,,0.31,,0.36,0.428405909,4377.0,8.4,0.0,6.8069917504,70.96745637,,,67.946671101,,77.316761892,,0.199,781.0,0.494,0.3233919039,0.169,0.505,0.1851851852,,0.249,0.399,0.0028000386,36204.0,1.0,South,Alabama
8,1,13,1013,AL,Butler County,2025,1.0,0.35,,,0.3,,0.37,0.4272216682,3956.0,8.4,0.0,5.2137173366,71.541917066,,,69.171396762,,73.170548277,,0.148,362.0,0.455,0.0691828694,0.171,0.436,0.2542372881,21.038605842,0.204,0.343,0.0935908876,44729.0,0.6943467535,South,Alabama
9,1,15,1015,AL,Calhoun County,2025,1.0,0.37,,0.39,0.29,0.31,0.38,0.644927474,3587.0,8.9,0.0,4.8695115258,70.813154873,,,70.396366677,92.698474052,70.386221501,,0.127,263.5,0.383,0.15398073,0.182,0.428,0.1568627451,33.60088521,0.18,0.285,0.1663846927,51841.0,0.3649401843,South,Alabama
10,1,17,1017,AL,Chambers County,2025,1.0,0.41,,,0.33,,0.43,0.5001437939,3244.0,8.9,0.0,5.0998743403,71.861783224,,,70.693900036,,72.213288962,,0.146,401.9,0.454,0.0810298845,0.169,0.426,0.2631578947,11.823359016,0.209,0.337,0.0182043023,50390.0,0.5074485218,South,Alabama
11,1,19,1019,AL,Cherokee County,2025,1.0,0.45,,,0.31,,0.45,0.2998278002,3981.0,8.4,0.0,4.5494250824,72.395529183,,,,,71.89863814,,0.113,113.3,0.402,0.0500865225,0.179,0.374,0.1315789474,19.584290788,0.176,0.269,0.0346001362,56400.0,1.0,South,Alabama
12,1,21,1021,AL,Chilton County,2025,1.0,0.4,,,0.32,0.31,0.41,0.3130359444,2652.0,8.9,0.0,4.012359927,72.70685113,,,70.396363312,92.543173135,72.36611062,,0.116,164.5,0.363,0.0436955151,0.175,0.341,0.2741935484,25.082070008,0.155,0.277,0.0207713156,59165.0,0.8554449727,South,Alabama
