,latitude,longitude,city,state,status,population,county,countyfips,country
1,34.023647302,-118.184164805,LOS ANGELES,CA,OPEN,127,Los Angeles,6037,USA
2,34.0963913570001,-118.325234871,HOLLYWOOD,CA,OPEN,100,Los Angeles,6037,USA
3,34.063038932,-117.967437788,BALDWIN PARK,CA,OPEN,95,Los Angeles,6037,USA
4,33.8597066200001,-118.148402965,LAKEWOOD,CA,OPEN,172,Los Angeles,6037,USA
5,34.1487586590001,-117.992667657,MONROVIA,CA,OPEN,49,Los Angeles,6037,USA
6,34.0494660590001,-118.138262231,MONTEREY PARK,CA,OPEN,101,Los Angeles,6037,USA
7,33.823914464,-118.356096947,TORRANCE,CA,OPEN,16,Los Angeles,6037,USA
9,41.4800562550001,-120.545743987,ALTURAS,CA,OPEN,87,Modoc,6049,USA
16,33.8070928700001,-118.193389929,LONG BEACH,CA,OPEN,121,Los Angeles,6037,USA
18,33.8846318610001,-118.162267066,PARAMOUNT,CA,OPEN,177,Los Angeles,6037,USA
19,33.928031349,-118.067989672,NORWALK,CA,OPEN,1265,Los Angeles,6037,USA
35,38.663925024,-121.792145249,WOODLAND,CA,OPEN,108,Yolo,6113,USA
41,34.132654576,-117.871259716,GLENDORA,CA,OPEN,105,Los Angeles,6037,USA
42,34.128165628,-118.256643169,GLENDALE,CA,OPEN,334,Los Angeles,6037,USA
43,34.0985736490001,-118.294175331,LOS ANGELES,CA,OPEN,460,Los Angeles,6037,USA
44,34.2185641940001,-118.430219294,PANORAMA CITY,CA,OPEN,218,Los Angeles,6037,USA
45,34.170393216,-118.531904059,TARZANA,CA,OPEN,249,Los Angeles,6037,USA
46,34.067204777,-118.286392079,LOS ANGELES,CA,OPEN,60,Los Angeles,6037,USA
47,33.833640007,-118.079677951,HAWAIIAN GARDENS,CA,OPEN,107,Los Angeles,6037,USA
48,38.935618855,-122.620144532,CLEARLAKE,CA,OPEN,32,Lake,6033,USA
49,36.8840478340001,-119.800242412,MADERA,CA,OPEN,356,Madera,6039,USA
58,39.228016294,-121.047499779,GRASS VALLEY,CA,OPEN,104,Nevada,6057,USA
61,33.9343517980001,-118.13090396,DOWNEY,CA,OPEN,199,Los Angeles,6037,USA
62,33.8393481160001,-118.359721519,TORRANCE,CA,OPEN,115,Los Angeles,6037,USA
68,34.5828776330001,-118.144366873,PALMDALE,CA,OPEN,157,Los Angeles,6037,USA
69,34.0975093230001,-117.834635766,SAN DIMAS,CA,OPEN,101,Los Angeles,6037,USA
70,34.100868785,-118.105918785,SAN GABRIEL,CA,OPEN,273,Los Angeles,6037,USA
92,33.912693115,-118.09882162,NORWALK,CA,OPEN,117,Los Angeles,6037,USA
93,33.989489571,-118.224189855,HUNTINGTON PARK,CA,OPEN,81,Los Angeles,6037,USA
94,34.325871722,-118.445764102,SYLMAR,CA,OPEN,355,Los Angeles,6037,USA
95,34.0573663500001,-118.362458577,LOS ANGELES,CA,OPEN,17,Los Angeles,6037,USA
96,34.0572922740001,-118.360527347,LOS ANGELES,CA,OPEN,204,Los Angeles,6037,USA
97,34.0648800160001,-118.239227761,LOS ANGELES,CA,OPEN,138,Los Angeles,6037,USA
98,34.202859415,-118.62862367,WEST HILLS,CA,OPEN,225,Los Angeles,6037,USA
99,36.8342012480001,-121.386193641,HOLLISTER,CA,OPEN,119,San Benito,6069,USA
103,41.5314890670001,-120.171428084,CEDARVILLE,CA,OPEN,26,Modoc,6049,USA
113,34.059102925,-118.41186805,LOS ANGELES,CA,OPEN,176,Los Angeles,6037,USA
115,34.176900695,-118.447490834,VAN NUYS,CA,OPEN,59,Los Angeles,6037,USA
118,34.027708681,-118.486892397,SANTA MONICA,CA,OPEN,265,Los Angeles,6037,USA
121,34.1794458260001,-118.539856202,TARZANA,CA,OPEN,60,Los Angeles,6037,USA
126,34.090215872,-118.144034807,ALHAMBRA,CA,OPEN,144,Los Angeles,6037,USA
129,36.2642058010001,-119.893134112,LEMOORE,CA,OPEN,-999,Kings,6031,USA
130,34.052015037,-118.238420471,LOS ANGELES,CA,OPEN,-999,Los Angeles,6037,USA
131,34.0234136560001,-118.397947171,CULVER CITY,CA,OPEN,16,Los Angeles,6037,USA
137,36.323633972,-119.667223471,HANFORD,CA,OPEN,142,Kings,6031,USA
150,34.1298015090001,-117.971137969,DUARTE,CA,OPEN,217,Los Angeles,6037,USA
151,34.1503629690001,-118.23006375,GLENDALE,CA,OPEN,515,Los Angeles,6037,USA
152,34.06534422,-117.985695172,BALDWIN PARK,CA,OPEN,272,Los Angeles,6037,USA
153,34.0668973360001,-118.243401894,LOS ANGELES,CA,OPEN,68,Los Angeles,6037,USA
154,34.1579782520001,-118.63663587,WOODLAND HILLS,CA,OPEN,242,Los Angeles,6037,USA
155,33.910671194,-118.064124345,NORWALK,CA,OPEN,50,Los Angeles,6037,USA
156,36.9438121160001,-120.0446582,MADERA,CA,OPEN,106,Madera,6039,USA
183,34.2048888570001,-118.215980012,GLENDALE,CA,OPEN,158,Los Angeles,6037,USA
198,34.1416496630001,-118.090970597,PASADENA,CA,OPEN,118,Los Angeles,6037,USA
199,34.0884364070001,-118.074015544,ROSEMEAD,CA,OPEN,97,Los Angeles,6037,USA
200,33.8650814600001,-118.156274109,LONG BEACH,CA,OPEN,16,Los Angeles,6037,USA
201,33.892964883,-118.294783486,GARDENA,CA,OPEN,172,Los Angeles,6037,USA
202,34.065403857,-118.446587693,LOS ANGELES,CA,OPEN,74,Los Angeles,6037,USA
203,34.069669445,-118.263525847,LOS ANGELES,CA,OPEN,116,Los Angeles,6037,USA
204,34.069566067,-118.105688446,ROSEMEAD,CA,OPEN,118,Los Angeles,6037,USA
205,33.950163027,-118.003960985,WHITTIER,CA,OPEN,178,Los Angeles,6037,USA
206,36.609100201,-118.057911853,LONE PINE,CA,OPEN,37,Inyo,6027,USA
219,34.0760965750001,-118.248361257,LOS ANGELES,CA,OPEN,105,Los Angeles,6037,USA
220,33.874408481,-118.12960781,BELLFLOWER,CA,OPEN,144,Los Angeles,6037,USA
221,34.0681632450001,-118.12385734,MONTEREY PARK,CA,OPEN,210,Los Angeles,6037,USA
222,33.8900864440001,-118.297438262,GARDENA,CA,OPEN,84,Los Angeles,6037,USA
223,33.928401502,-118.158878677,DOWNEY,CA,OPEN,289,Los Angeles,6037,USA
224,34.0193463100001,-118.18651367,LOS ANGELES,CA,OPEN,130,Los Angeles,6037,USA
225,34.0351433110001,-118.309357038,LOS ANGELES,CA,OPEN,149,Los Angeles,6037,USA
226,36.83551313,-121.386821065,HOLLISTER,CA,OPEN,62,San Benito,6069,USA
247,33.7882842860001,-118.194139118,LONG BEACH,CA,OPEN,36,Los Angeles,6037,USA
251,34.0396037290001,-118.212794235,LOS ANGELES,CA,OPEN,36,Los Angeles,6037,USA
262,38.5625039120001,-121.770740018,DAVIS,CA,OPEN,48,Yolo,6113,USA
267,34.0145595060001,-118.100446881,MONTEBELLO,CA,OPEN,224,Los Angeles,6037,USA
268,33.7884863640001,-118.145240612,LONG BEACH,CA,OPEN,208,Los Angeles,6037,USA
269,33.80817455,-118.185457576,LONG BEACH,CA,OPEN,371,Los Angeles,6037,USA
270,34.085241404,-118.25658079,LOS ANGELES,CA,OPEN,55,Los Angeles,6037,USA
271,34.0384966780001,-118.374696375,LOS ANGELES,CA,OPEN,288,Los Angeles,6037,USA
272,33.9195067900001,-118.128997851,DOWNEY,CA,OPEN,352,Los Angeles,6037,USA
273,34.062029841,-118.2013106,LOS ANGELES,CA,OPEN,401,Los Angeles,6037,USA
274,34.0072994830001,-118.26621008,LOS ANGELES,CA,OPEN,72,Los Angeles,6037,USA
275,34.1344874600001,-118.041711746,ARCADIA,CA,OPEN,400,Los Angeles,6037,USA
276,34.2204145640001,-118.45666936,PANORAMA CITY,CA,OPEN,145,Los Angeles,6037,USA
277,33.7384230700001,-118.305004358,SAN PEDRO,CA,OPEN,231,Los Angeles,6037,USA
278,33.838492902,-118.357297244,TORRANCE,CA,OPEN,327,Los Angeles,6037,USA
279,34.1570435290001,-118.328869108,BURBANK,CA,OPEN,446,Los Angeles,6037,USA
