pollutant,date_local,time_local,date_gmt,time_gmt,value,units_of_measure,datetime_local
Carbon monoxide,2020-09-03,00:00,2020-09-03,08:00,0.7,Parts per million,2020-09-03 00:00:00
Carbon monoxide,2020-09-03,01:00,2020-09-03,09:00,0.7,Parts per million,2020-09-03 01:00:00
Carbon monoxide,2020-09-03,02:00,2020-09-03,10:00,,Parts per million,2020-09-03 02:00:00
Carbon monoxide,2020-09-03,03:00,2020-09-03,11:00,0.6,Parts per million,2020-09-03 03:00:00
Carbon monoxide,2020-09-03,04:00,2020-09-03,12:00,0.7,Parts per million,2020-09-03 04:00:00
Carbon monoxide,2020-09-03,05:00,2020-09-03,13:00,0.9,Parts per million,2020-09-03 05:00:00
Carbon monoxide,2020-09-03,06:00,2020-09-03,14:00,0.7,Parts per million,2020-09-03 06:00:00
Carbon monoxide,2020-09-03,07:00,2020-09-03,15:00,0.6,Parts per million,2020-09-03 07:00:00
Carbon monoxide,2020-09-03,08:00,2020-09-03,16:00,0.6,Parts per million,2020-09-03 08:00:00
Carbon monoxide,2020-09-03,09:00,2020-09-03,17:00,0.7,Parts per million,2020-09-03 09:00:00
Carbon monoxide,2020-09-03,10:00,2020-09-03,18:00,1.0,Parts per million,2020-09-03 10:00:00
Carbon monoxide,2020-09-03,11:00,2020-09-03,19:00,1.0,Parts per million,2020-09-03 11:00:00
Carbon monoxide,2020-09-03,12:00,2020-09-03,20:00,0.8,Parts per million,2020-09-03 12:00:00
Carbon monoxide,2020-09-03,13:00,2020-09-03,21:00,0.7,Parts per million,2020-09-03 13:00:00
Carbon monoxide,2020-09-03,14:00,2020-09-03,22:00,0.7,Parts per million,2020-09-03 14:00:00
Carbon monoxide,2020-09-03,15:00,2020-09-03,23:00,0.7,Parts per million,2020-09-03 15:00:00
Carbon monoxide,2020-09-03,16:00,2020-09-04,00:00,0.7,Parts per million,2020-09-03 16:00:00
Carbon monoxide,2020-09-03,17:00,2020-09-04,01:00,0.6,Parts per million,2020-09-03 17:00:00
Carbon monoxide,2020-09-03,18:00,2020-09-04,02:00,0.6,Parts per million,2020-09-03 18:00:00
Carbon monoxide,2020-09-03,19:00,2020-09-04,03:00,0.6,Parts per million,2020-09-03 19:00:00
Carbon monoxide,2020-09-03,20:00,2020-09-04,04:00,0.6,Parts per million,2020-09-03 20:00:00
Carbon monoxide,2020-09-03,21:00,2020-09-04,05:00,0.6,Parts per million,2020-09-03 21:00:00
Carbon monoxide,2020-09-03,22:00,2020-09-04,06:00,0.6,Parts per million,2020-09-03 22:00:00
Carbon monoxide,2020-09-03,23:00,2020-09-04,07:00,0.7,Parts per million,2020-09-03 23:00:00
Carbon monoxide,2020-09-04,00:00,2020-09-04,08:00,0.7,Parts per million,2020-09-04 00:00:00
Carbon monoxide,2020-09-04,01:00,2020-09-04,09:00,0.7,Parts per million,2020-09-04 01:00:00
Carbon monoxide,2020-09-04,02:00,2020-09-04,10:00,,Parts per million,2020-09-04 02:00:00
Carbon monoxide,2020-09-04,03:00,2020-09-04,11:00,,Parts per million,2020-09-04 03:00:00
Carbon monoxide,2020-09-04,04:00,2020-09-04,12:00,,Parts per million,2020-09-04 04:00:00
Carbon monoxide,2020-09-04,05:00,2020-09-04,13:00,,Parts per million,2020-09-04 05:00:00
Carbon monoxide,2020-09-04,06:00,2020-09-04,14:00,,Parts per million,2020-09-04 06:00:00
Carbon monoxide,2020-09-04,07:00,2020-09-04,15:00,0.7,Parts per million,2020-09-04 07:00:00
Carbon monoxide,2020-09-04,08:00,2020-09-04,16:00,0.7,Parts per million,2020-09-04 08:00:00
Carbon monoxide,2020-09-04,09:00,2020-09-04,17:00,0.6,Parts per million,2020-09-04 09:00:00
Carbon monoxide,2020-09-04,10:00,2020-09-04,18:00,0.6,Parts per million,2020-09-04 10:00:00
Carbon monoxide,2020-09-04,11:00,2020-09-04,19:00,0.7,Parts per million,2020-09-04 11:00:00
Carbon monoxide,2020-09-04,12:00,2020-09-04,20:00,0.7,Parts per million,2020-09-04 12:00:00
Carbon monoxide,2020-09-04,13:00,2020-09-04,21:00,0.7,Parts per million,2020-09-04 13:00:00
Carbon monoxide,2020-09-04,14:00,2020-09-04,22:00,0.7,Parts per million,2020-09-04 14:00:00
Carbon monoxide,2020-09-04,15:00,2020-09-04,23:00,0.6,Parts per million,2020-09-04 15:00:00
Carbon monoxide,2020-09-04,16:00,2020-09-05,00:00,0.6,Parts per million,2020-09-04 16:00:00
Carbon monoxide,2020-09-04,17:00,2020-09-05,01:00,0.7,Parts per million,2020-09-04 17:00:00
Carbon monoxide,2020-09-04,18:00,2020-09-05,02:00,0.7,Parts per million,2020-09-04 18:00:00
Carbon monoxide,2020-09-04,19:00,2020-09-05,03:00,0.6,Parts per million,2020-09-04 19:00:00
Carbon monoxide,2020-09-04,20:00,2020-09-05,04:00,0.6,Parts per million,2020-09-04 20:00:00
Carbon monoxide,2020-09-04,21:00,2020-09-05,05:00,0.6,Parts per million,2020-09-04 21:00:00
Carbon monoxide,2020-09-04,22:00,2020-09-05,06:00,0.6,Parts per million,2020-09-04 22:00:00
Carbon monoxide,2020-09-04,23:00,2020-09-05,07:00,0.6,Parts per million,2020-09-04 23:00:00
Carbon monoxide,2020-09-05,00:00,2020-09-05,08:00,0.6,Parts per million,2020-09-05 00:00:00
Carbon monoxide,2020-09-05,01:00,2020-09-05,09:00,0.5,Parts per million,2020-09-05 01:00:00
Carbon monoxide,2020-09-05,02:00,2020-09-05,10:00,,Parts per million,2020-09-05 02:00:00
Carbon monoxide,2020-09-05,03:00,2020-09-05,11:00,0.6,Parts per million,2020-09-05 03:00:00
